sdg,abstract,id,sdg_desc_short,sdg_desc_long
13,"Under the transparency framework (Article 13 of the Paris Agreement) developed countries shall provide information on the support provided to developing countries. This shall be communicated biennially as qualitative and quantitative information. Importantly projected levels of public support shall also be included wherever possible, although not explicitly part of the transparency framework.",,,
16,"The Third Optional Protocol to the Convention on the Rights of the Child has entered into force in April 2014. Petitions concerning violations of the rights of the child were hitherto justiciable before the Human Rights Committee and the Committee on the Elimination of Discrimination against Women, both of which have produced useful jurisprudence. While these Committees will continue to have jurisdiction over such cases, it is to be expected that henceforth petitioners will turn to the Committee on the Rights of the Child as the most specialised body in the field.",,,
7,Both power plants draw water from reservoirs and their drainage basins include glaciers. Mel uses water from four reservoirs in Vetlefjordvass-draget. The drainage basin includes part of the glacier Jostedalsbreen. Water from three smaller magazines is transported in tunnels to Nedre Svartevassvatn reservoir which is regulated between 815 and 883 metres above sea level.,,,
5,Experiences in other economies reveal that much more aggressive policy and programme initiatives to assist women in their marketing efforts are possible. A good practice from Pakistan in supporting women exporters is profiled in Box 6.6. They further stressed the importance of expanding cluster linkages for women-owned SMEs and including them in value- and supply-chain initiatives.,,,
14,The total catch and total allowable catch for each of the years since 2004 is set out in Table 2. Rivers w'hich have an identifiable surplus over the conservation limit are open for salmon and sea trout fishing. Rivers meeting in excess of 65% of the conservation limit are granted catch and release status subject to approval.,,,
13,"These are divided into enabling environment activities (policy and administrative management, environmental education/training, and environmental research) and sectoral activities (health, water and sanitation, agriculture, forestry', fishing, flood prevention/control, and disaster prevention and preparedness). Based on this classification, the project and programme documents analysed for this study were categorised as follows: i) Climate risk reduction, ii) Policy and administrative management for climate change, Hi) Education, training and awareness on climate change, iv) Climate scenario and impact research, and v) Co-ordination on climate change measures and activities across relevant actors. Table 5 provides a description of the categories.",,,
8,"This is particularly relevant for young people who do not finish school or do not go on to third-level education, as a post-secondary education is not always a requirement for employment in the sector. Attention also needs to be paid to those working in the sector. These efforts can be supported by actions to streamline training opportunities and put in place structures and systems outlined previously. Proposed actions include the creation of a dedicated careers portal and a promotional campaign for the sector.",,,
5,"The effect of peer gender on major choice This paper investigates how the peer gender composition in university affects students' major choices and labor market outcomes. Women who are randomly assigned to more female peers become less likely to choose male-dominated majors, they end up in jobs where they work fewer hours and their wage grows at a slower rate. Men become more likely to choose male-dominated majors after having had more female peers, although their labor market outcomes are not affected. Our results suggest that the increasing female university enrolment over recent decades has paradoxically contributed to the occupational segregation among university graduates that persists in today’s labor market.",oai:www.zora.uzh.ch:141965,Gender Equality,Aims to achieve gender equality and empower all women and girls.
5,"The influence of gender ratios on academic careers: Combining social networks with tokenism This paper examines how gender proportions at the workplace affect the extent to which individual networks support the career progress (i.e. time to promotion). Previous studies have argued that men and women benefit from different network structures. However, the empirical evidence about these differences has been contradictory or inconclusive at best. Combining social networks with tokenism, we show in a longitudinal academic study that gender-related differences in the way that networks affect career progress exist only in situations where women are in a token position. Our empirical results further show that women not in severely underrepresented situations benefit from the same network structure as men.",oai:www.zora.uzh.ch:159178,Gender Equality,Aims to achieve gender equality and empower all women and girls.
4,"This is longer than the average length of teacher salary scales in OECD countries (24 for lower secondary education, see OECD, 2014a). The maximum salary of a pre-primary, primary or lower secondary teacher is approximately 73% greater than the beginning salary, whereas for upper secondary teachers the maximum salary is about 76% greater. The salary scales for Flemish teachers look slightly """"""""steeper” than the OECD average (OECD, 2014a). Compared to most OECD countries, the Flemish Community puts a heavy emphasis on length of teaching experience in determining individual teachers’ salaries. Teachers with the same levels of qualifications and teaching experience receive essentially the same salary.""""",,Quality Education,
15,"Evaluating the environmental parameters that determine aerobic biodegradation half-lives of pesticides in soil with a multivariable approach Aerobic biodegradation half-lives (half-lives) are key parameters used to evaluate pesticide persistence in soil. However, half-life estimates for individual pesticides often span several orders of magnitude, reflecting the impact that various environmental or experimental parameters have on half-lives in soil. In this work, we collected literature-reported half-lives for eleven pesticides along with associated metadata describing the environmental or experimental conditions under which they were derived. We then developed a multivariable framework to discover relationships between the half-lives and associated metadata. We first compared data for the herbicide atrazine collected from 95 laboratory and 65 field studies. We discovered that atrazine application history and soil texture were the parameters that have the largest influence on the observed half-lives in both types of studies. We then extended the analysis to include ten additional pesticides with data collected exclusively from laboratory studies. We found that, when data were available, pesticide application history and biomass concentrations were always positively associated with half-lives. The relevance of other parameters varied among the pesticides, but in some cases the variability could be explained by the physicochemical properties of the pesticides. For example, we found that the relative significance of the organic carbon content of soil for determining half-lives depends on the relative solubility of the pesticide. Altogether, our analyses highlight the reciprocal influence of both environmental parameters and intrinsic physicochemical properties for determining half-lives in soil. (C) 2018 Elsevier Ltd. All rights reserved.",oai:www.zora.uzh.ch:162466,Life on Land,"Aims to protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss."
13,"Global Warming’s Five Germanys People’s attitudes toward climate change differ, and these differences may correspond to distinct patterns of media use and information seeking. However, studies extending analyses of attitude types and their specific media diets to countries beyond the United States are lacking. We use a secondary analysis of survey data from Germany to identify attitudes toward climate change among the German public and specify those segments of the population based on their media use and information seeking. Similar to the Global Warming’s Six Americas study, we find distinct attitudes (Global Warming’s Five Germanys) that differ in climate change–related perceptions as well as in media use and communicative behavior. These findings can help tailor communication campaigns regarding climate change to specific audiences.",oai:www.zora.uzh.ch:148297,Climate Action,Aims to take urgent action to combat climate change and its impacts.
8,"Disappearing routine jobs: Who, how, and why We study the deterioration of employment in middle-wage, routine occupations in the United States in the last 35 years. The decline is primarily driven by changes in the propen- sity to work in routine jobs for individuals from a small set of demographic groups. These same groups account for a substantial fraction of both the increase in non-employment and employment in low-wage, non-routine manual occupations observed during the same period. We analyze a general neoclassical model of the labor market featuring endogenous participation and occupation choice. In response to an increase in automation technology, the framework embodies a tradeoffbetween reallocating employment across occupations and reallocation of workers towards non-employment. Quantitatively, we find that this standard model accounts for a relatively small portion of the joint decline in routine em- ployment and associated rise in non-routine manual employment and non-employment.",oai:www.zora.uzh.ch:145755,Decent Work and Economic Growth,"Aims to promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all."
8,"In addition, research is increasingly concerned with analysing the work-life balance, barriers to improving this balance and the characteristics of companies implementing measures to balance work and family life, and with demonstrating the benefits of family-friendly policies at company level (Wakisaka, 2007, Atsumi, 2007, and Kodama etal., In 2005, a law was passed obliging companies with more than 300 workers to set up action plans to promote their work-life balance and an accreditation system was introduced to encourage companies to implement childcare-leave schemes (OECD, 2008a, and Takeishi, 2007). Other measures concern reducing working hours for parents with young children.",,,
11,"Federal policies - federal housing finance in particular -have facilitated the development of higher quality houses, yet have often failed to contribute to the development of better cities. Reforms to INFONAVIT’s practices thus form the basis upon which a more competitive, sustainable housing and urban development model can be built. First, like many Latin American countries, Mexico has a long history of informal or irregular housing development, and a large share of the housing stock continues to be self-built, lacking legal titles or constructed outside the formal development process. Nearly one-quarter of urban households live in informal settlements.",,,
2,"This recent trend coincided with the onset of the new millennium and commitments made by the donor community, in particular to Africa. In addition, in 2007-2008, the total annual average aid commitments to agriculture amounted to US$ 7.2 billion (Organization for Economic Cooperation and Development, 2010), which represented a positive step towards increasing financing for agriculture in developing countries. Still, in 2008, the High-level Task Force on the Global Food Security Crisis urged donor countries to double ODA for food assistance, other types of nutritional support and safety net programmes, and to increase the proportion of ODA to be invested in food security and agricultural development from the current 3 to 10 per cent within five years (and beyond if needed) so as to reverse the historic underinvestment in agriculture (United Nations, 2008).",,,
1,"In Canada, children in single-parent families at the bottom of the income distribution experienced a decline in market income (largely driven by a decline in the proportion of children with a working parent), but the disposable income of the first 25th percentile remained stable, suggesting that cash benefits played a significant role in offsetting the erosion of market income (OECD, 2018[34]). However, the rise in these children's standard of living was lower than that observed for children in more affluent single-parent families, who also experienced an erosion of market incomes but whose disposable income rose relatively more. In Denmark, the standard of living for children in single-parent families has risen, particularly for those in wealthier families. Changes in family characteristics have contributed relatively little to this evolution, while the disposable income of families with a given number of children have increased.",,,
9,"Physical and digital assets can be represented as “tokens” of value on the shared distributed registries, allowing the tokens to be directly traded among network participants. In essence, these core capabilities allow for the use of cryptocurrencies (e.g. Bitcoin, Ether) as well as tokenised digital records (e.g. property rights, physical property rights) in the context of the infrastructure lifecycle, from financing, and procurement, through tendering and operations. Greater standardisation of contracts and documentation in the bidding and procurement stages of the infrastructure project life cycle is critical to reducing their cost and complexity, as well as facilitating their comparability.",,,
13,"The aggregate amount of carbon emissions from six ASEAN nations (Indonesia, Malaysia, the Philippines, Singapore, Thailand and Viet Nam) surpassed 1 300 million tonnes in 2010.7 Although the region's relative contribution to global C02 emissions remained modest (at around 4%), the amount of carbon emissions from these ASEAN countries grew by 5.5% per annum on average between 1990 and 2010, compared with an annual increase of 0.7% in OECD countries. In Southeast Asia nearly a third of the region's total population still earn less than USD 2 a day (ASEAN, 2009). It is in this context that """"""""green growth"""""""" has attracted much attention from ASEAN policy makers as an alternative to traditional export-led growth strategy (""""""""grow first, clean up later""""""""). Should it continue, this conventional strategy could increase human costs due to greater congestion and pollution and further reduce resilience to external natural shocks, such as extreme weather events, which often hit the region badly. On the one hand, the developed countries, as well as those in transition, make specific emission limitation and reduction commitments (as inscribed in Annex B), with a view to reducing their overall emissions by at least 5% below 1990 levels in the commitment period from 2008 to 2012.""""",,,
1,"It is also a clear contradiction of the principle of equality of opportunity to which all OECD countries aspire. Allowing children to fall unnecessarily far behind brings in its wake a long list of practical costs and consequences. Causality is always difficult to establish, but many hundreds of studies in many different OECD countries have shown what the costs of falling too far behind may be. But this cannot change the fact that children who fall behind early in their lives, or who spend a significant part of their early years in poverty, are likely to find themselves at a marked and measurable disadvantage.",,,
9,"As GCI Frontrunners reach the limits of growth from current ICT investments, AI and Intelligent Connectivity are opening up a new economic growth cycle. Point Topic reports that fixed wireless technologies are increasingly giving way to 4G LTE-based mobile broadband access, with 4G L.TE now a major means of getting broadband at home in several regions - for example, Scandinavia and Eastern Europe14. The Inclusive Internet Index (3i)15, commissioned by Facebook and the Economist Intelligence Unit, shows that access to 4G networking services improved over the last year, particularly in low-income countries where coverage almost doubled, from 9.1% to 17.3%.",,,
2,"Genebank genomics highlights the diversity of a global barley collection Genebanks hold comprehensive collections of cultivars, landraces and crop wild relatives of all major food crops, but their detailed characterization has so far been limited to sparse core sets. The analysis of genome-wide genotyping-by-sequencing data for almost all barley accessions of the German ex situ genebank provides insights into the global population structure of domesticated barley and points out redundancies and coverage gaps in one of the world’s major genebanks. Our large sample size and dense marker data afford great power for genome-wide association scans. We detect known and novel loci underlying morphological traits differentiating barley genepools, find evidence for convergent selection for barbless awns in barley and rice and show that a major-effect resistance locus conferring resistance to bymovirus infection has been favored by traditional farmers. This study outlines future directions for genomics-assisted genebank management and the utilization of germplasm collections for linking natural variation to human selection during crop evolution.",oai:www.zora.uzh.ch:160632,Zero Hunger,"Aims to end hunger, achieve food security and improved nutrition, and promote sustainable agriculture."
1,"In 2006, 32 per cent of households with children under 16 and almost 50 per cent of unemployed mothers with children under 2 were receiving an allowance (UNICEF 2009b). Less than two per cent of families received social aid. Of all recipients of any social allowance, 95 per cent belong to the poorest 50 per cent of the population (Tahlil, 2009). For the poorest ten per cent, the different social allowances contribute between one fourth and one third to the total household income.",,,
1,"Saving more in groups: field experimental evidence from Chile We test the impact of a peer group savings program on precautionary savings, through two randomized field experiments among 2,687 microcredit clients. The first experiment finds that the Peer Group Treatment, which combines public goal setting, monitoring in the group, and non-financial rewards, increases savings in a new savings account significantly. The number of deposits grows 3.7-fold, and the average savings balance almost doubles. In contrast, a more classical measure, a substantially increased interest rate, has no effect for most participants and raises the savings balance only for the very top of the distribution. A second experiment, conducted a year later, tests an alternative delivery mechanism and shows that effects of similar size can be achieved through feedback text messages, without meetings, rewards, or peer pressure.",oai:www.zora.uzh.ch:134392,No Poverty,Aims to end poverty in all its forms everywhere.
1,"When the definition developed by Ravallion and Chen (2003) is used, then growth was pro-poor in all the periods that were studied as measured both by the poverty and the extreme poverty headcount indices. This result can be attributed to the economic stability seen during those years, the real increase in the minimum wage and the implementation of direct income transfer policies (Franga, 2010, Kakwani, Neri and Son, 2010). The results also indicate that these policies are more effective in reducing the extreme poverty headcount than the poverty headcount because, since the extreme poverty line is lower than the poverty line, it is more sensitive to policy measures.",,,
4,"The total length of the bars indicates the observed variation in the index of familiarity with mathematics. The variation in familiarity with mathematics is more than four times greater in Liechtenstein and Spain than in Indonesia. Across OECD countries, around 86% of the country-level variation in familiarity with mathematics can be traced to differences across students who attend the same school, while around 14% can be ascribed to differences across students who attend different schools.",,Quality Education,
7,"Towards the rational design of the Py5-ligand framework for ruthenium-based water oxidation catalysts In order to rationally design water oxidation catalysts (WOCs), an in-depth understanding of the reaction mechanism is essential. In this study we showcase the complexity of catalytic water oxidation, by elucidating how modifications of the pentapyridyl (Py5) ligand-framework influence the thermodynamics and kinetics of the process. In the reaction mechanism the pyridine-water exchange was identified as a key reaction which appears to determine the reactivity of the Py5-WOCs. Exploring the capabilities of in silico design we show which modifications of the ligand framework appear promising when attempting to improve the catalytic performance of WOCs derived from Py5.",oai:www.zora.uzh.ch:162383,Affordable and Clean Energy,"Aims to ensure access to affordable, reliable, sustainable, and clean energy for all."
3,"Does Despair Really Kill Two seemingly associated demographic trends have generated considerable interest: income stagnation and rising premature mortality from suicides, drug poisoning, and alcoholic liver disease among US non-Hispanic Whites with low education. Economists interpret these population-level trends to indicate that despair induced by financial stressors is a shared pathway to these causes of death. Although we now have the catchy term ""deaths of despair,"" we have yet to study its central empirical claim: that conceptually defined and empirically assessed ""despair"" is indeed a common pathway to several causes of death. At the level of the person, despair consists of cognitive, emotional, behavioral, and biological domains. Despair can also permeate social relationships, networks, institutions, and communities. Extant longitudinal data sets feature repeated measures of despair-before, during, and after the Great Recession-offering resources to test the role that despair induced by economic decline plays in premature morbidity and mortality. Such tests must also focus on protective factors that could shield individuals. is more than a phrase; it constitutes a hypothesis that deserves conceptual mapping and empirical study with longitudinal, multilevel data.",oai:www.zora.uzh.ch:171042,Good Health and Well-being,Aims to ensure healthy lives and promote well-being for all at all ages.
15,"Understanding forest health with remote sensing, part III: Requirements for a scalable multi-source forest health monitoring network based on data science approaches Forest ecosystems fulfill a whole host of ecosystem functions that are essential for life on our planet. However, an unprecedented level of anthropogenic influences is reducing the resilience and stability of our forest ecosystems as well as their ecosystem functions. The relationships between drivers, stress, and ecosystem functions in forest ecosystems are complex, multi-faceted, and often non-linear, and yet forest managers, decision makers, and politicians need to be able to make rapid decisions that are data-driven and based on short and long-term monitoring information, complex modeling, and analysis approaches. A huge number of long-standing and standardized forest health inventory approaches already exist, and are increasingly integrating remote-sensing based monitoring approaches. Unfortunately, these approaches in monitoring, data storage, analysis, prognosis, and assessment still do not satisfy the future requirements of information and digital knowledge processing of the 21st century. Therefore, this paper discusses and presents in detail five sets of requirements, including their relevance, necessity, and the possible solutions that would be necessary for establishing a feasible multi-source forest health monitoring network for the 21st century. Namely, these requirements are: (1) understanding the effects of multiple stressors on forest health; (2) using remote sensing (RS) approaches to monitor forest health; (3) coupling different monitoring approaches; (4) using data science as a bridge between complex and multidimensional big forest health (FH) data; and (5) a future multi-source forest health monitoring network. It became apparent that no existing monitoring approach, technique, model, or platform is sufficient on its own to monitor, model, forecast, or assess forest health and its resilience. In order to advance the development of a multi-source forest health monitoring network, we argue that in order to gain a better understanding of forest health in our complex world, it would be conducive to implement the concepts of data science with the components: (i) digitalization; (ii) standardization with metadata management after the FAIR (Findability, Accessibility, Interoperability, and Reusability) principles; (iii) Semantic Web; (iv) proof, trust, and uncertainties; (v) tools for data science analysis; and (vi) easy tools for scientists, data managers, and stakeholders for decision-making support.",oai:www.zora.uzh.ch:157398,Life on Land,"Aims to protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss."
1,"The latter are falling further behind their urban counterparts (Economic and Social Commission for Asia and the Pacific, 2008b). To illustrate this point in detail, the present section will highlight the importance of regional variations by contrasting two countries, China and India, both large countries in terms of both geographical and population size and both regarded as quite successful in having reduced poverty at the aggregate level. As a result, however, of divergent regional patterns of economic growth and social provisions, one finds sharp differences in levels of living standards across provinces or states, as well as between rural and urban areas (Ravallion and Jalan, 1999). This gap is related to structural changes in output and employment: the coastal regions have provided more opportunities for non-agricultural employment and income.",,,
10,"Deliberative inclusion of minorities: patterns of reciprocity among linguistic groups in Switzerland We present a model of deliberative inclusion, focusing on reciprocity in the interaction between structural minorities/disadvantaged groups and majorities/privileged groups. Our model, however, comes with a ‘friendly amendment’: we have put the ‘burden of reciprocity’ mainly on majorities and privileged groups. It is mainly their obligation to seriously listen and respond to the demands and arguments of minorities and disadvantaged groups and show a willingness to respect and accommodate these interests. Empirically, we apply our model to the interaction of linguistic groups in the Swiss parliament. We find a highly egalitarian, sometimes even minority-favoring mode of interaction between the German-speaking majority and linguistic minorities. The German-speaking majority seems to be willing to take the ‘burden of reciprocity’ when linguistic minorities’ vital interests are concerned. Conversely, linguistic minorities are slightly more self-referential and adversarial under such conditions.",oai:www.zora.uzh.ch:86456,Reduced Inequalities,Aims to reduce inequality within and among countries.
13,"Motivated Rejection of Science Some scientifically well-established results—such as the fact that emission of greenhouse gases produces global warming—are rejected by sizable proportions of the population in the United States and other countries. Rejection of scientific findings is mostly driven by motivated cognition: People tend to reject findings that threaten their core beliefs or worldview. At present, rejection of scientific findings by the U.S. public is more prevalent on the political right than the left. Yet the cognitive mechanisms driving rejection of science, such as the superficial processing of evidence toward the desired interpretation, are found regardless of political orientation. General education and scientific literacy do not mitigate rejection of science but, rather, increase the polarization of opinions along partisan lines. In contrast, specific knowledge about the mechanisms underlying a scientific result—such as human-made climate change—can increase the acceptance of that result.",oai:www.zora.uzh.ch:127551,Climate Action,Aims to take urgent action to combat climate change and its impacts.
4,"Full integration of sustainable development knowledge, skills and values by all learners, while well in progress, has yet to be realized across all levels and types of education. The three priorities for Phase III—ESD school plans, teacher competences and ESD in TVET—are proving to be challenging but necessary leverage points in whole-system change. Recognition that ESD lies at the core of the purpose of education has increased but remains to be fully secured across all member States.",,Quality Education,
4,"Strengthening the curriculum’s learning standards, and ensuring that they are used as the key reference point for national examination and assessment development and teachers’ classroom practices, will provide the foundations to ensuring assessment supports the new student-centred vision for learning. Aligning assessment practice with the new curriculum will also mean reviewing Romania’s high-stakes national examinations, including reconsidering the use of the Grade 8 examination for tracking students into different streams. In the immediate term, there is a pressing need to mitigate the negative impact of the Grade 8 examination on student learning and equity.",,Quality Education,
8,"The Rise of the Machines: Automation, Horizontal Innovation and Income Inequality We construct an endogenous growth model with automation (the introduction of machines which replace low-skill labor) and horizontal innovation. The economy follows three phases. First, low-skill wages are low, which induces little automation, and income inequality and labor’s share of GDP are constant. Second, as low-skill wages increase, automation increases which reduces the labor share, increases the skill premium and may decrease future low-skill wages. Finally, the economy moves toward a steady state, where low-skill wages grow but at a lower rate than high-skill wages. The model is quantitatively consistent with the US labor market experience since the 1960s.",oai:www.zora.uzh.ch:228780,Decent Work and Economic Growth,"Aims to promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all."
5,"Reports indicate that acid attacks are on the rise in Pakistan (Ilahi 2014). In 2014 alone, the Human Rights Commission of Pakistan found that 232 women in Pakistan suffered acid attacks or were burned, the majority by someone they knew (International Crisis Group 2015). Eight female parliamentarians have dedicated the development funds allocated to them to establish burn units in their respective district hospitals. For example, in 2010 WPC convened the first Convention of Women Parliamentarians on ‘The Role of Women Parliamentarians in Peace, Security & Reconciliation, which included women legislators from federal and provincial assemblies.",,,
12,"Audience segments in environmental and science communication: recent findings and future perspectives People differ. Not only do they vote for different parties, buy different products, have different hobbies and use different media. They also differ in their interest in, attitudes on, and behavior towards scientific and environmental issues. This has been shown for people’s general assessments of environmental issues (e.g. Eurobarometer, 2017) and of science and research (for an overview see Besley, 2013). It has also been demonstrated for people’s attitudes towards more specific topics such as global warming (for an overview see Nisbet & Myers, 2007), nuclear energy (e.g. Kristiansen, Bonfadelli, & Kovic, 2016), nanotechnology (e.g. Scheufele, Corley, Shih, Dalrymple, & Ho, 2009), or biotechnology (e.g. Bonfadelli, 2017). These differences are not randomly distributed across populations. Researchers from the social and behavioral sciences have identified the organizing logics that underlie this diversity, and identified factors which help explain the variation of people’s attitudes. They have shown, for example, that perceptual and behavioral differences with regards to scientific and environmental issues are related to people’s education, their age, gender, or socio-economic status, among other factors (see, e.g. Besley, 2013; Kawamoto, Nakayama, & Saijo, 2013; Nisbet & Myers, 2007; Research Councils UK, 2008).",oai:www.zora.uzh.ch:159677,Responsible Consumption and Production,Aims to ensure sustainable consumption and production patterns.
1,"In six of them, poverty dropped appreciably between the two years. In the Dominican Republic and Uruguay (data for urban areas), the poverty rate fell by more than 3 percentage points, Brazil, Panama, Paraguay and Peru recorded declines between 0.9 percentage points and 2.2 percentage points. Slightly smaller negative poverty rate variations were posted in Colombia and Ecuador (see figure I.3).2 In 2009, the indigence rate came down considerably in Colombia, the Dominican Republic, Panama, Peru and Uruguay and declined slightly in Brazil and Paraguay.",,,
4,"Innovation that harnesses these new opportunities will benefit from the exchange of knowledge and practices on how to successfully implement reforms. This research particularly emphasises the need to use diverse strategies for teaching and learning in different circumstances. This means that even if this report is focused on OER - i.e. on educational resources and particularly educational media - it will attempt to keep in focus the interaction of organisational processes and infrastructure, the means of using networks and collaboration, and insights (given and missing) from research.",,Quality Education,
9,"The initiatives of ESCAP for the Asian Highway and the Trans-Asian Railway networks can be traced back to the late 1950s and early 1960s. With regard to the Asian Highway, to date, only 32.8 per cent of the network, which spans 142,781 km of roads passing through 32 member States, reaches the two highest categories of road class. A total of 9,176 km, or 7.3 per cent, still needs to be upgraded to meet minimum standards, and the poor quality of several segments is affecting usability.",,,
3,"See J.H. Reichman, “The International Legal Status of Undisclosed Clinical Trial Data: From Private to Public Good?” [ However, in order for a competitor to be able to market a generic copy of the drug, the local DRA must still make a judgment about the efficacy and safety of the generic product, and this decision may require the authority to rely on the regulatory decisions made by a DRA in a country where the originator has actually been granted regulatory approval. Again, the originator company may argue that the generic producer free rides on the originator’s efforts, even though the domestic DRA in these cases makes no direct use of the test data in question (rather, it uses the foreign decision that is based on such test data).",,,
15,"Sperm form and function: what do we know about the role of sexual selection Sperm morphological variation has attracted considerable interest and generated a wealth of (mostly descriptive) studies over the past three centuries. Yet, apart from biophysical studies linking sperm morphology to swimming velocity, surprisingly little is known about the adaptive significance of sperm form and the selective processes underlying its tremendous diversification throughout the animal kingdom. Here, we first discuss the challenges of examining sperm morphology in an evolutionary context and why our understanding of it is still so poor. Then, we review empirical evidence for how sexual selection theory applies to the evolution of sperm form and function, including putative secondary sexual traits borne by sperm.",oai:www.zora.uzh.ch:149729,Life on Land,"Aims to protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss."
6,"For instance, as noted in the section on rural and urban water competition, water-trading systems, despite their recognised economic efficiency, are mainly used intrasectorally (OECD, 2010) and rarely driven or used by cities. This discrepancy may originate from multiple factors, mostly related to ease of implementation: the cost of entry and the institutional complexity of the approaches may make them unfit for smaller-scale operations or difficult to establish among users. Moreover, policy makers often decide to favour other objectives - i.e. equity or sustainability - over economic efficiency. Other global, national or local political objectives may also affect implementation: trade liberalisation, food or energy security, land grabbing, poverty alleviation or the strong lobby groups might tilt the scales towards a particular policy choice.",,,
7,"The existing potential of low-cost demand response for large users running capital intensive factories or industrial facilities must be assessed and the pace of development of smart grids remains uncertain. Large balancing areas and geographic diversity of wind resources can help to optimise the balancing costs. Improving the design of electricity markets is another important lever to control these costs. In several US markets and in Australia, sub-hourly energy markets are integrated and co-optimised with ancillary services markets.",,,
2,"The evolution of daily food sharing: A Bayesian phylogenetic analysis Some human subsistence economies are characterized by extensive daily food sharing networks, which may buffer the risk of shortfalls and facilitate cooperative production and divisions of labor among households. Comparative studies of human food sharing can assess the generalizability of this theory across time, space, and diverse lifeways. Here we test several predictions about daily sharing norms–which presumably reflect realized cooperative behavior–in a globally representative sample of nonindustrial societies (the Standard Cross-Cultural Sample), while controlling for multiple sources of autocorrelation among societies using Bayesian multilevel models. Consistent with a risk-buffering function, we find that sharing is less likely in societies with alternative means of smoothing production and consumption such as animal husbandry, food storage, and external trade. Further, food sharing was tightly linked to labor sharing, indicating gains to cooperative production and perhaps divisions of labor. We found a small phylogenetic signal for food sharing (captured by a supertree of human populations based on genetic and linguistic data) that was mediated by food storage and social stratification. Food sharing norms reliably emerge as part of cooperative economies across time and space but are culled by innovations that facilitate self-reliant production.",oai:www.zora.uzh.ch:170833,Zero Hunger,"Aims to end hunger, achieve food security and improved nutrition, and promote sustainable agriculture."
7,"These reforms had a significant impact on the overall subsidy level but left some of the most significant subsidies in place including most of the diesel subsidies, subsidies to butane and petroleum fuels. In 2014 the total allocation was DH 41.6 billion2 (~4.2 USD billion) of which DH 36.6 billion (~USD 3.843 billion) was allocated to petroleum products. Between 2012 and 2014 the overall subsidy cost fell by around 25% (see table 2).",,,
2,"Impact of organic and conventional farming systems on wheat grain uptake and soil bioavailability of zinc and cadmium Zinc (Zn) deficiency is a widespread problem in human nutrition and wheat grains are a major source of Zn intake in large parts of the human population. It remains unclear to what extent organic and conventional farming practices, differing in organic matter management, influence Zn availability and uptake by wheat grains. Factors leading to an increased Zn uptake may also increase the Cd uptake in wheat grains, which are a major source of harmful Cd for humans. In this study, we investigated the effects of different farming practices on Zn and Cd concentrations in wheat grains and their relationships with total and available soil Zn and Cd concentrations, and other soil properties. In northern Switzerland, 28 farms were sampled including 11 organic farms with compost use, 10 organic farms without compost use, and 7 conventional farms without compost use. Soil organic matter was a key factor for soil Zn and especially Cd concentrations across all three farming systems. Total and available soil Cd concentrations as well as soil organic carbon concentration (SOC) were significantly higher on the organic farms with compost use than on the conventional farms. However, only the compost farms with livestock showed significantly higher grain Cd concentrations in comparison to conventional farming, whereas the organic farms without compost use were in between. In contrast to Cd, the soil and grain Zn concentrations showed no significant farming system effect although there was a correlation between total soil Zn and SOC when all farms of the survey were pooled. Grain Zn was decoupled from soil Zn indicating that under agricultural field conditions the farming systems are a minor factor in increasing grain Zn. Our study suggests that the Zn and Cd soil and grain concentrations on farms were mediated by a combination of on-farm organic matter management, soil properties, and livestock production intensity.",oai:www.zora.uzh.ch:168376,Zero Hunger,"Aims to end hunger, achieve food security and improved nutrition, and promote sustainable agriculture."
15,"Predicting missing values in spatio-temporal remote sensing data Continuous, consistent, and long time-series from remote sensing are essential to monitoring changes on Earth's surface. However, analyzing such data sets is often challenging due to missing values introduced by cloud cover, missing orbits, sensor geometry artifacts, and so on. We propose a new and accurate spatio-temporal prediction method to replace missing values in remote sensing data sets. The method exploits the spatial coherence and temporal seasonal regularity that are inherent in many data sets. The key parts of the method are: 1) the adaptively chosen spatio-temporal subsets around missing values; 2) the ranking of images within the subsets based on a scoring algorithm; 3) the estimation of empirical quantiles characterizing the missing values; and 4) the prediction of missing values through quantile regression. One advantage of quantile regression is the robustness to outliers, which enables more accurate parameter retrieval in the analysis of remote sensing data sets. In addition, we provide bootstrap-based quantification of prediction uncertainties. The proposed prediction method was applied to a Normalized Difference Vegetation Index data set from the Moderate Resolution Imaging Spectroradiometer and assessed with realistic test data sets featuring between 20% and 50% missing values. Validation against established methods showed that the proposed method has a good performance in terms of the root-mean-squared prediction error and significantly outperforms its competitors. This paper is accompanied by the open-source R package gapfill, which provides a flexible, fast, and ready-to-use implementation of the method.",oai:www.zora.uzh.ch:149830,Life on Land,"Aims to protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss."
